Radiant_Temp,Humidity,Air_Velocity,Optimal_Air_Temp,Min_Abs_PMV
12.0,45,0.6000000000000001,31.5,0.012712182466063796
12.0,45,0.7000000000000001,31.5,0.04626270595387121
12.0,45,0.8,31.0,0.04702162581322511
12.0,45,0.9,31.0,0.005618114371602404
12.0,45,1.0,31.0,0.024344407464241057
12.0,45,1.1,15.0,5.625494295283339
12.0,45,1.2000000000000002,18.5,11.680736647116468
12.0,45,1.3,,inf
12.0,45,1.4000000000000001,,inf
12.0,45,1.5,,inf
12.0,45,1.6,,inf
12.0,50,0.0,34.5,0.03874627856310263
12.0,50,0.1,34.5,0.038682872430900975
12.0,50,0.2,33.0,0.03186557458712342
12.0,50,0.30000000000000004,32.5,0.02915336114829443
12.0,50,0.4,32.0,0.026562649724274925
12.0,50,0.5,31.5,0.015024443982994812
12.0,50,0.6000000000000001,31.5,0.054673563981847736
12.0,50,0.7000000000000001,31.0,0.028437179196522104
12.0,50,0.8,31.0,0.018476468092597495
12.0,50,0.9,31.0,0.0598799795342202
12.0,50,1.0,30.5,0.06127192892025207
12.0,50,1.1,15.0,5.600631828623673
12.0,50,1.2000000000000002,18.5,11.649686331400293
12.0,50,1.3,,inf
12.0,50,1.4000000000000001,,inf
12.0,50,1.5,,inf
12.0,50,1.6,,inf
12.0,55,0.0,34.5,0.04098907537495274
12.0,55,0.1,34.5,0.0410524815071544
12.0,55,0.2,33.0,0.04146959069577237
12.0,55,0.30000000000000004,32.0,0.019650976911966503
12.0,55,0.4,31.5,0.03203984526928799
12.0,55,0.5,31.5,0.05236130246491725
12.0,55,0.6000000000000001,31.0,0.017341968994125077
12.0,55,0.7000000000000001,31.0,0.03706091470930103
12.0,55,0.8,30.5,0.063336504927978
12.0,55,0.9,30.5,0.02540923883739684
12.0,55,1.0,30.5,0.002384636261502039
12.0,55,1.1,15.0,5.575769361964007
12.0,55,1.2000000000000002,18.5,11.618636015684118
12.0,55,1.3,,inf
12.0,55,1.4000000000000001,,inf
12.0,55,1.5,,inf
12.0,55,1.6,,inf
12.0,60,0.0,34.0,0.014278552473797283
12.0,60,0.1,34.0,0.021757080860281976
12.0,60,0.2,32.5,0.0034417709252254052
12.0,60,0.30000000000000004,32.0,0.049669509841172084
12.0,60,0.4,31.5,0.03534590117862354
12.0,60,0.5,31.0,0.01614892861715583
12.0,60,0.6000000000000001,31.0,0.048156124911697525
12.0,60,0.7000000000000001,30.5,0.0428138808053477
12.0,60,0.8,30.5,0.00032006025377558035
12.0,60,0.9,30.5,0.03824732634435674
12.0,60,1.0,30.5,0.06604120144325562
12.0,60,1.1,15.0,5.550906895304342
12.0,60,1.2000000000000002,18.5,11.587585699967942
12.0,60,1.3,,inf
12.0,60,1.4000000000000001,,inf
12.0,60,1.5,,inf
12.0,60,1.6,,inf
12.0,65,0.0,33.5,0.015549343619814162
12.0,65,0.1,33.5,0.0023521330459044514
12.0,65,0.2,32.0,0.038053667795611895
12.0,65,0.30000000000000004,31.5,0.0045080926146235595
12.0,65,0.4,31.0,0.028504134797379285
12.0,65,0.5,31.0,0.04934916528866678
12.0,65,0.6000000000000001,30.5,0.0289856583509963
12.0,65,0.7000000000000001,30.5,0.020842684376405882
12.0,65,0.8,30.5,0.06397662543552916
12.0,65,0.9,30.0,0.05241653940618408
12.0,65,1.0,30.0,0.02659363718801599
12.0,65,1.1,15.0,5.526044428644676
12.0,65,1.2000000000000002,18.5,11.556535384251767
12.0,65,1.3,,inf
12.0,65,1.4000000000000001,,inf
12.0,65,1.5,,inf
12.0,65,1.6,,inf
12.0,70,0.0,33.0,0.04823839369102551
12.0,70,0.1,33.0,0.02063250359794693
12.0,70,0.2,32.0,0.03126681895752669
12.0,70,0.30000000000000004,31.0,0.06194567833404192
12.0,70,0.4,31.0,0.036993959108443844
12.0,70,0.5,30.5,0.02423780700839671
12.0,70,0.6000000000000001,30.5,0.03467090683075781
12.0,70,0.7000000000000001,30.0,0.06398965764686565
12.0,70,0.8,30.0,0.02481971625144475
12.0,70,0.9,30.0,0.009443672488445699
12.0,70,1.0,30.0,0.03526657470661378
12.0,70,1.1,15.0,5.501181961985011
12.0,70,1.2000000000000002,18.5,11.525485068535593
12.0,70,1.3,,inf
12.0,70,1.4000000000000001,,inf
